Lot_ID,Wafer_ID,Seq,Bin,X,Y,CONT,IGSS0,IGSS1,IGSSR1,VTH,BVDSS1,BVDSS2,IDSS1,IDSS2,IGSS2,IGSSR2
FA54-5339-327A-250501@203,1,1,1.00,11,5,0,0,0,5.00e-09,3.20,129,130,1.52e-08,2.32e-08,6.90e-09,5.90e-09
FA54-5339-327A-250501@203,1,2,1.00,14,6,0,0,1.40e-09,5.10e-09,3.12,130,130,9.40e-09,1.84e-08,2.00e-09,2.00e-10
FA54-5339-327A-250501@203,1,3,1.00,13,6,0,1.00e-08,1.00e-09,1.20e-09,3.21,130,130,1.19e-08,1.85e-08,3.80e-09,4.00e-10
FA54-5339-327A-250501@203,1,4,1.00,12,6,0,0,1.00e-10,6.00e-10,3.19,130,131,1.11e-08,2.04e-08,6.10e-09,2.00e-09
FA54-5339-327A-250501@203,1,5,1.00,11,6,0.00,0,9.00e-10,1.60e-09,3.17,130,131,1.08e-08,1.93e-08,7.90e-09,2.50e-09
FA54-5339-327A-250501@203,1,6,1.00,10,6,0,0,1.80e-09,5.20e-09,3.15,130,131,1.11e-08,1.74e-08,4.20e-09,8.50e-09
FA54-5339-327A-250501@203,1,7,1.00,9,6,0,0,3.60e-09,6.70e-09,3.12,130,130,9.90e-09,1.73e-08,6.00e-09,1.20e-09
FA54-5339-327A-250501@203,1,8,1.00,7,7,0,1.00e-08,6.00e-10,3.70e-09,3.12,130,130,6.80e-09,1.73e-08,1.00e-10,1.20e-09
FA54-5339-327A-250501@203,1,9,1.00,8,7,0,1.00e-08,7.00e-10,3.50e-09,3.17,130,131,8.80e-09,1.58e-08,1.00e-09,1.70e-09
FA54-5339-327A-250501@203,1,10,1.00,9,7,0,0,2.40e-09,1.30e-09,3.12,131,131,9.20e-09,1.61e-08,3.90e-09,3.60e-09
FA54-5339-327A-250501@203,1,11,1.00,10,7,0,0,4.50e-09,5.20e-09,3.15,131,131,9.20e-09,1.74e-08,4.10e-09,3.70e-09
FA54-5339-327A-250501@203,1,12,1.00,11,7,0,0,4.00e-10,5.70e-09,3.19,131,131,9.30e-09,1.74e-08,2.20e-09,9.00e-10
FA54-5339-327A-250501@203,1,13,1.00,12,7,0,1.00e-08,2.00e-09,2.00e-09,3.16,131,131,8.90e-09,1.75e-08,5.90e-09,1.80e-09
FA54-5339-327A-250501@203,1,14,1.00,13,7,0,1.00e-08,1.40e-09,5.10e-09,3.26,131,131,1.05e-08,1.66e-08,5.10e-09,1.30e-09
FA54-5339-327A-250501@203,1,15,1.00,14,7,0,0,3.00e-10,0,3.17,131,131,9.50e-09,1.58e-08,1.70e-09,2.30e-09
FA54-5339-327A-250501@203,1,16,1.00,15,7,0,0,5.00e-10,3.90e-09,3.12,130,130,8.80e-09,1.71e-08,4.60e-09,5.60e-09
FA54-5339-327A-250501@203,1,17,1.00,16,8,0,1.00e-08,1.60e-09,1.00e-10,3.15,130,130,9.60e-09,1.65e-08,9.00e-10,1.60e-09
FA54-5339-327A-250501@203,1,18,1.00,15,8,0,0,1.10e-09,9.00e-10,3.16,131,131,9.10e-09,1.74e-08,3.20e-09,1.10e-09
FA54-5339-327A-250501@203,1,19,1.00,14,8,0,0,3.90e-09,1.50e-09,3.14,131,131,8.20e-09,1.59e-08,1.00e-09,3.30e-09
FA54-5339-327A-250501@203,1,20,1.00,13,8,0,1.00e-08,3.00e-10,2.40e-09,3.27,130,131,9.10e-09,1.69e-08,5.10e-09,1.30e-09
FA54-5339-327A-250501@203,1,21,1.00,12,8,0,0,3.00e-09,5.50e-09,3.23,130,130,1.04e-08,1.60e-08,5.10e-09,1.50e-09
FA54-5339-327A-250501@203,1,22,1.00,11,8,0,1.00e-08,3.00e-09,1.00e-09,3.21,130,130,9.10e-09,1.69e-08,1.90e-09,4.30e-09
FA54-5339-327A-250501@203,1,23,1.00,10,8,0,0,2.90e-09,7.00e-10,3.19,130,131,9.30e-09,1.73e-08,2.60e-09,1.50e-09
FA54-5339-327A-250501@203,1,24,1.00,9,8,0.00,0,5.00e-10,5.00e-09,3.15,131,131,8.00e-09,1.57e-08,1.40e-09,1.00e-10
FA54-5339-327A-250501@203,1,25,1.00,8,8,0,0,1.40e-09,1.10e-09,3.20,131,131,9.00e-09,1.50e-08,1.30e-09,5.00e-10
FA54-5339-327A-250501@203,1,26,1.00,7,8,0,0,1.00e-10,0,3.12,130,131,7.70e-09,1.67e-08,1.10e-09,3.00e-10
FA54-5339-327A-250501@203,1,27,1.00,6,9,0,0,8.00e-10,2.60e-09,3.13,130,130,7.80e-09,1.69e-08,3.90e-09,2.00e-09
FA54-5339-327A-250501@203,1,28,1.00,7,9,0,1.00e-08,5.00e-10,9.00e-10,3.13,130,131,8.00e-09,1.56e-08,3.90e-09,3.30e-09
FA54-5339-327A-250501@203,1,29,1.00,8,9,0,0,2.30e-09,2.00e-10,3.24,130,131,6.70e-09,1.49e-08,4.60e-09,3.50e-09
FA54-5339-327A-250501@203,1,30,1.00,9,9,0,0,1.00e-09,1.50e-09,3.14,130,131,8.10e-09,1.62e-08,6.00e-10,1.80e-09
FA54-5339-327A-250501@203,1,31,1.00,10,9,0,1.00e-08,1.00e-09,1.90e-09,3.17,130,131,7.60e-09,1.55e-08,6.10e-09,1.10e-09
FA54-5339-327A-250501@203,1,32,1.00,11,9,0,0,1.70e-09,1.20e-09,3.20,130,131,9.80e-09,1.57e-08,1.70e-09,5.00e-10
FA54-5339-327A-250501@203,1,33,1.00,12,9,0,0,1.10e-09,2.40e-09,3.18,130,131,9.00e-09,1.63e-08,3.20e-09,2.90e-09
FA54-5339-327A-250501@203,1,34,1.00,13,9,0,0,1.80e-09,1.00e-09,3.30,130,131,8.60e-09,1.60e-08,1.00e-09,1.30e-09
FA54-5339-327A-250501@203,1,35,1.00,14,9,0,100,,,,,,,,,
FA54-5339-327A-250501@203,1,36,1.00,15,9,0,0,3.20e-09,5.00e-10,3.12,130,131,8.50e-09,1.60e-08,0,1.90e-09
FA54-5339-327A-250501@203,1,37,1.00,16,9,0,1.00e-08,2.00e-09,2.10e-09,3.19,130,131,7.70e-09,1.65e-08,5.90e-09,4.20e-09
FA54-5339-327A-250501@203,1,38,1.00,17,10,0,0,8.00e-10,3.40e-09,3.24,130,130,9.50e-09,1.71e-08,1.20e-09,3.20e-09
FA54-5339-327A-250501@203,1,39,1.00,16,10,0,0,1.60e-09,3.00e-09,3.24,130,131,8.90e-09,1.48e-08,4.20e-09,6.70e-09
FA54-5339-327A-250501@203,1,40,1.00,15,10,0,0,6.00e-10,3.70e-09,3.21,130,130,9.10e-09,1.62e-08,1.40e-09,4.20e-09
FA54-5339-327A-250501@203,1,41,1.00,14,10,0,1.00e-08,2.80e-09,3.20e-09,3.19,130,131,9.50e-09,1.44e-08,5.50e-09,5.90e-09
FA54-5339-327A-250501@203,1,42,1.00,13,10,0,0,2.00e-09,1.20e-09,3.31,131,131,8.50e-09,1.59e-08,1.10e-09,2.10e-09
FA54-5339-327A-250501@203,1,43,1.00,12,10,0,0,1.10e-09,3.60e-09,3.30,131,131,8.70e-09,1.52e-08,4.30e-09,2.50e-09
