Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	2
Date	2025/03/03
Time	00:19:09

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	5.360E-07	4.760E-07	7.246E+02	7.322E+02	7.600E+00	1.140E-08	3.437E+00	3.091E-01	7.650E-01	9.700E-08	6.280E-08	4.300E-09	
2	47	5	1	0.000E+00	0.000E+00	4.790E-07	4.760E-07	7.104E+02	7.244E+02	1.400E+01	1.010E-08	3.384E+00	3.116E-01	7.640E-01	8.680E-08	6.070E-08	3.600E-09	
3	53	5	1	0.000E+00	0.000E+00	3.970E-07	4.360E-07	7.270E+02	7.339E+02	6.900E+00	1.040E-08	3.274E+00	3.120E-01	7.610E-01	6.910E-08	5.610E-08	3.900E-09	
4	47	7	1	0.000E+00	0.000E+00	4.290E-07	4.440E-07	7.481E+02	7.546E+02	6.500E+00	6.700E-09	3.331E+00	3.156E-01	7.620E-01	7.200E-08	5.480E-08	2.200E-09	
5	47	9	1	0.000E+00	0.000E+00	7.610E-07	7.530E-07	7.519E+02	7.575E+02	5.600E+00	6.500E-09	3.311E+00	3.158E-01	7.620E-01	1.524E-07	8.940E-08	2.300E-09	
6	23	11	1	0.000E+00	0.000E+00	4.870E-07	6.540E-07	7.570E+02	7.610E+02	4.000E+00	6.600E-09	3.454E+00	3.147E-01	7.630E-01	7.780E-08	8.830E-08	2.200E-09	
7	29	11	1	0.000E+00	0.000E+00	3.580E-07	4.320E-07	7.669E+02	7.689E+02	2.000E+00	6.600E-09	3.379E+00	3.131E-01	7.620E-01	6.140E-08	5.010E-08	2.400E-09	
8	35	11	1	0.000E+00	0.000E+00	3.650E-07	4.070E-07	7.605E+02	7.638E+02	3.300E+00	6.500E-09	3.360E+00	3.133E-01	7.620E-01	6.190E-08	5.050E-08	2.100E-09	
9	41	11	1	0.000E+00	0.000E+00	3.750E-07	6.360E-07	7.529E+02	7.583E+02	5.400E+00	6.400E-09	3.335E+00	3.137E-01	7.620E-01	6.310E-08	9.410E-08	2.200E-09	
10	47	11	1	0.000E+00	0.000E+00	3.680E-07	4.430E-07	7.514E+02	7.561E+02	4.700E+00	6.700E-09	3.319E+00	3.137E-01	7.620E-01	6.390E-08	5.670E-08	2.100E-09	
