Program name	H0206AD_E4_CP1.dll
Lot number	C127251.00-CPTSTE11-241023-002348@CP
Wafer number	01
Date	2024/10/23
Time	00:23:52

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH1	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	1uA	5uA	6uA	4.5V	900V	900V	50V	160mohm	1V	80nA	80nA	2uA
LimitL				-0.5V	-0.5V	-0.5V	0uA	0uA	0uA	2.5V	660V	660V	-10V	0mohm	0V	0nA	0nA	0uA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 	 
Bias 3				2V	 	 	 	 	650V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	10000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	23	6	1	1.24000E-002	1.40000E-003	8.00000E-004	1.69000E-008	5.00000E-010	3.44400E-007	3.46740E+000	7.25209E+002	7.26983E+002	1.77380E+000	1.27904E-001	6.89600E-001	3.34800E-010	5.39000E-011	1.64400E-007
12	21	6	1	1.29000E-002	1.40000E-003	8.00000E-004	3.78000E-008	7.00000E-010	3.22600E-007	3.45330E+000	7.30025E+002	7.32344E+002	2.31870E+000	1.25523E-001	6.89600E-001	1.85000E-010	1.70900E-010	1.55800E-007
16	19	6	1	1.28000E-002	1.30000E-003	8.00000E-004	5.93000E-008	6.00000E-010	2.85900E-007	3.42490E+000	7.36213E+002	7.38046E+002	1.83300E+000	1.26023E-001	6.90200E-001	1.63900E-010	1.24100E-010	1.43800E-007
