Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-171044@CP
Wafer number	10
Date	2025/03/12
Time	17:13:41

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	2.85010E-009	1.50000E-009	6.36060E-009	3.47980E+000	7.42691E+002	7.45971E+002	3.28010E+000	5.69026E-001	7.98200E-001	1.04450E-009	1.59480E-009	1.32080E-009
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	2.93210E-009	1.40000E-009	5.44260E-009	3.48350E+000	7.50650E+002	7.53336E+002	2.68610E+000	5.74039E-001	7.97600E-001	1.14280E-009	1.71900E-009	2.90400E-009
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.73300E-009	1.40000E-009	1.54097E-008	3.51390E+000	7.20076E+002	7.23243E+002	3.16730E+000	5.74141E-001	7.98600E-001	1.22250E-009	1.66510E-009	1.95780E-009
20	9	8	5	1.32000E-002	1.20000E-003	9.00000E-004	3.26460E-009	7.00000E-010	1.38140E-005
24	11	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.33720E-009	1.50000E-009	2.29510E-009	3.47530E+000	7.73626E+002	7.76194E+002	2.56810E+000	5.53141E-001	7.96100E-001	1.28100E-009	1.85010E-009	1.68620E-009
28	13	8	1	1.33000E-002	1.20000E-003	9.00000E-004	3.23420E-009	1.60000E-009	5.62990E-009	3.46150E+000	7.78068E+002	7.81239E+002	3.17030E+000	5.63077E-001	7.96400E-001	1.28340E-009	1.80090E-009	2.06090E-009
32	15	8	1	1.31000E-002	1.20000E-003	9.00000E-004	3.69790E-009	1.70000E-009	7.37230E-009	3.45530E+000	7.68825E+002	7.70726E+002	1.90090E+000	5.78802E-001	7.96900E-001	1.22720E-009	1.87350E-009	1.40510E-009
36	17	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.60650E-009	1.20000E-009	7.38170E-009	3.44930E+000	7.75348E+002	7.77891E+002	2.54370E+000	5.68627E-001	7.98100E-001	9.39100E-010	1.81500E-009	1.48950E-009
40	19	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.88290E-009	1.50000E-009	3.13820E-009	3.43700E+000	7.75514E+002	7.77872E+002	2.35810E+000	5.54635E-001	7.97800E-001	1.01870E-009	1.81500E-009	1.10540E-009
45	21	10	1	1.32000E-002	1.20000E-003	9.00000E-004	3.68380E-009	1.50000E-009	7.08190E-009	3.44980E+000	7.79778E+002	7.81535E+002	1.75700E+000	5.54913E-001	7.97300E-001	1.06320E-009	1.91330E-009	1.54570E-009
49	19	10	1	1.31000E-002	1.20000E-003	9.00000E-004	4.34420E-009	1.50000E-009	8.42150E-009	3.45050E+000	7.68867E+002	7.70473E+002	1.60680E+000	5.71496E-001	7.97300E-001	1.11710E-009	1.60420E-009	2.01400E-009
53	17	10	1	1.31000E-002	1.30000E-003	9.00000E-004	4.43090E-009	1.60000E-009	8.96480E-009	3.45780E+000	7.60836E+002	7.62469E+002	1.63270E+000	5.79601E-001	7.96500E-001	1.16630E-009	1.52930E-009	1.06790E-009
57	15	10	1	1.32000E-002	1.20000E-003	9.00000E-004	4.94140E-009	1.80000E-009	1.91100E-009	3.45950E+000	7.57821E+002	7.59347E+002	1.52640E+000	5.83129E-001	7.96700E-001	1.25760E-009	1.65340E-009	2.40750E-009
61	13	10	1	1.32000E-002	1.30000E-003	9.00000E-004	4.03510E-009	1.60000E-009	5.99500E-010	3.47110E+000	7.61320E+002	7.63136E+002	1.81600E+000	5.81350E-001	7.96800E-001	9.57800E-010	1.66510E-009	7.77500E-010
65	11	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.56200E-009	1.70000E-009	1.77050E-009	3.47150E+000	7.77406E+002	7.78943E+002	1.53710E+000	5.69505E-001	7.96000E-001	1.32320E-009	1.92040E-009	2.14520E-009
69	9	10	1	1.32000E-002	1.40000E-003	9.00000E-004	3.22950E-009	1.00000E-009	1.82670E-009	3.46660E+000	7.74328E+002	7.76260E+002	1.93200E+000	5.57307E-001	7.96000E-001	7.96200E-010	1.77050E-009	1.30210E-009
73	7	10	3	1.33000E-002	1.50000E-003	9.00000E-004	1.38720E-005
79	7	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.39580E-009	1.50000E-009	2.72600E-009	3.48430E+000	7.56472E+002	7.58704E+002	2.23150E+000	5.60594E-001	7.96000E-001	1.04920E-009	1.77280E-009	3.13820E-009
