Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4307-327A-250501@203
Wafer number	8
Date	2025/05/01
Time	05:11:35

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	0.000E+00	2.000E-10	4.000E-10	2.772E+00	2.881E+02	2.903E+02	1.675E-07	2.237E-07	3.600E-09	1.200E-09	4.000E-10	3.900E-09	2.772E+00	
2	10	5	1	0.000E+00	0.000E+00	1.900E-09	1.900E-09	2.683E+00	2.868E+02	2.883E+02	1.791E-07	2.384E-07	6.000E-10	0.000E+00	4.800E-09	7.000E-10	2.682E+00	
3	11	5	1	1.000E-03	1.000E-08	2.000E-10	4.700E-09	2.679E+00	2.866E+02	2.883E+02	1.778E-07	2.372E-07	2.900E-09	2.800E-09	1.800E-09	1.600E-09	2.680E+00	
4	12	5	1	1.000E-03	0.000E+00	2.300E-09	4.100E-09	2.663E+00	2.869E+02	2.886E+02	1.784E-07	2.372E-07	2.300E-09	3.800E-09	0.000E+00	1.000E-09	2.662E+00	
5	13	5	1	1.000E-03	2.000E-08	1.000E-10	2.000E-10	2.617E+00	2.865E+02	2.884E+02	1.848E-07	2.449E-07	5.100E-09	1.000E-10	1.900E-09	3.200E-09	2.617E+00	
6	14	6	1	0.000E+00	0.000E+00	5.000E-10	2.300E-09	2.570E+00	2.834E+02	2.854E+02	2.001E-07	2.688E-07	1.500E-09	8.000E-10	3.200E-09	2.500E-09	2.570E+00	
7	13	6	1	0.000E+00	0.000E+00	5.200E-09	1.400E-09	2.578E+00	2.832E+02	2.849E+02	1.961E-07	2.645E-07	2.200E-09	9.000E-10	4.600E-09	1.800E-09	2.578E+00	
8	12	6	1	0.000E+00	0.000E+00	2.400E-09	1.700E-09	2.658E+00	2.842E+02	2.862E+02	1.857E-07	2.501E-07	1.500E-09	6.000E-10	7.000E-10	5.000E-10	2.658E+00	
9	11	6	1	0.000E+00	1.000E-08	3.000E-10	1.200E-09	2.669E+00	2.842E+02	2.859E+02	1.863E-07	2.515E-07	2.300E-09	2.800E-09	2.000E-10	2.500E-09	2.668E+00	
10	10	6	1	0.000E+00	0.000E+00	1.100E-09	1.500E-09	2.669E+00	2.839E+02	2.857E+02	1.877E-07	2.516E-07	1.800E-09	4.500E-09	1.000E-09	8.000E-10	2.669E+00	
11	9	6	1	1.000E-03	0.000E+00	2.400E-09	2.500E-09	2.680E+00	2.848E+02	2.866E+02	1.866E-07	2.491E-07	4.000E-09	1.400E-09	2.500E-09	3.000E-09	2.679E+00	
12	8	6	1	0.000E+00	0.000E+00	3.000E-10	2.500E-09	2.683E+00	2.861E+02	2.880E+02	1.844E-07	2.468E-07	3.100E-09	4.000E-09	0.000E+00	1.000E-10	2.684E+00	
13	7	7	1	1.000E-03	1.000E-08	2.000E-10	8.000E-10	2.682E+00	2.866E+02	2.885E+02	1.815E-07	2.424E-07	3.300E-09	3.800E-09	7.000E-10	9.000E-10	2.682E+00	
14	8	7	1	0.000E+00	1.000E-08	5.000E-10	2.500E-09	2.685E+00	2.852E+02	2.869E+02	1.861E-07	2.498E-07	3.700E-09	1.400E-09	9.000E-10	3.000E-10	2.685E+00	
15	9	7	1	0.000E+00	0.000E+00	1.000E-10	2.000E-09	2.734E+00	2.846E+02	2.862E+02	1.832E-07	2.467E-07	3.000E-10	7.000E-10	2.800E-09	3.300E-09	2.734E+00	
16	10	7	1	1.000E-03	1.000E-08	0.000E+00	2.100E-09	2.757E+00	2.847E+02	2.862E+02	1.779E-07	2.403E-07	2.500E-09	1.500E-09	2.000E-10	2.700E-09	2.756E+00	
17	11	7	1	1.000E-03	0.000E+00	0.000E+00	2.600E-09	2.758E+00	2.847E+02	2.864E+02	1.762E-07	2.379E-07	4.500E-09	2.800E-09	5.000E-10	1.800E-09	2.759E+00	
18	12	7	1	0.000E+00	0.000E+00	4.000E-10	9.000E-10	2.787E+00	2.854E+02	2.872E+02	1.726E-07	2.306E-07	1.200E-09	3.000E-10	0.000E+00	1.600E-09	2.787E+00	
19	13	7	1	0.000E+00	1.000E-08	6.000E-10	1.100E-09	2.640E+00	2.832E+02	2.849E+02	1.914E-07	2.564E-07	2.600E-09	2.000E-09	1.400E-09	2.100E-09	2.641E+00	
20	14	7	1	1.000E-03	1.000E-08	1.500E-09	9.000E-10	2.574E+00	2.819E+02	2.839E+02	2.036E-07	2.731E-07	2.800E-09	0.000E+00	1.600E-09	1.400E-09	2.574E+00	
21	15	7	1	1.000E-03	1.000E-08	2.900E-09	4.300E-09	2.610E+00	2.825E+02	2.848E+02	2.020E-07	2.712E-07	4.700E-09	2.900E-09	2.700E-09	5.100E-09	2.610E+00	
22	16	8	1	0.000E+00	1.000E-08	1.500E-09	4.000E-10	2.564E+00	2.810E+02	2.830E+02	2.142E-07	2.911E-07	4.800E-09	2.500E-09	2.500E-09	1.600E-09	2.564E+00	
23	15	8	1	0.000E+00	0.000E+00	2.000E-10	1.700E-09	2.622E+00	2.812E+02	2.834E+02	2.050E-07	2.789E-07	2.900E-09	3.000E-09	2.700E-09	2.100E-09	2.622E+00	
24	14	8	1	1.000E-03	0.000E+00	0.000E+00	1.500E-09	2.669E+00	2.819E+02	2.838E+02	1.964E-07	2.668E-07	0.000E+00	1.100E-09	1.000E-09	1.800E-09	2.668E+00	
25	13	8	1	1.000E-03	1.000E-08	1.400E-09	7.000E-10	2.746E+00	2.835E+02	2.853E+02	1.827E-07	2.448E-07	2.300E-09	3.000E-10	1.000E-10	1.300E-09	2.745E+00	
26	12	8	1	0.000E+00	0.000E+00	6.000E-10	4.900E-09	2.848E+00	2.853E+02	2.871E+02	1.685E-07	2.258E-07	3.900E-09	4.100E-09	8.000E-10	3.600E-09	2.847E+00	
27	11	8	1	1.000E-03	0.000E+00	1.800E-09	5.400E-09	2.849E+00	2.853E+02	2.869E+02	1.677E-07	2.259E-07	4.600E-09	3.300E-09	2.800E-09	3.800E-09	2.849E+00	
