,No.U,CONT,IGSS0,IGSS1,IGSSR1,VTH,BVDSS1,BVDSS2,IDSS1,IDSS2,IGSS2,IGSSR2,Wafer_ID,Seq,X,Y,Bin,Lot_ID
0,11.0,0.0,0.0,5e-09,3.204,129.4,129.7,1.52e-08,2.32e-08,6.9e-09,5.9e-09,,1,1,5,1,1.0,FA54-5339-327A-250501@203
1,14.0,0.0,1.4e-09,5.1e-09,3.116,129.6,129.9,9.4e-09,1.84e-08,2e-09,2e-10,,1,2,6,1,1.0,FA54-5339-327A-250501@203
2,13.0,1e-08,1e-09,1.2e-09,3.207,129.9,130.3,1.19e-08,1.85e-08,3.8e-09,4e-10,,1,3,6,1,1.0,FA54-5339-327A-250501@203
3,12.0,0.0,1e-10,6e-10,3.191,130.4,130.6,1.11e-08,2.04e-08,6.1e-09,2e-09,,1,4,6,1,1.0,FA54-5339-327A-250501@203
4,11.0,0.0,9e-10,1.6e-09,3.175,130.5,130.6,1.08e-08,1.93e-08,7.9e-09,2.5e-09,,1,5,6,1,1.0,FA54-5339-327A-250501@203
5,10.0,0.0,1.8e-09,5.2e-09,3.153,130.5,130.7,1.11e-08,1.74e-08,4.2e-09,8.5e-09,,1,6,6,1,1.0,FA54-5339-327A-250501@203
6,9.0,0.0,3.6e-09,6.7e-09,3.125,130.2,130.4,9.9e-09,1.73e-08,6e-09,1.2e-09,,1,7,6,1,1.0,FA54-5339-327A-250501@203
7,7.0,1e-08,6e-10,3.7e-09,3.121,129.6,130.0,6.8e-09,1.73e-08,1e-10,1.2e-09,,1,8,7,1,1.0,FA54-5339-327A-250501@203
8,8.0,1e-08,7e-10,3.5e-09,3.17,130.3,130.6,8.8e-09,1.58e-08,1e-09,1.7e-09,,1,9,7,1,1.0,FA54-5339-327A-250501@203
9,9.0,0.0,2.4e-09,1.3e-09,3.118,130.6,130.9,9.2e-09,1.61e-08,3.9e-09,3.6e-09,,1,10,7,1,1.0,FA54-5339-327A-250501@203
10,10.0,0.0,4.5e-09,5.2e-09,3.151,130.6,130.9,9.2e-09,1.74e-08,4.1e-09,3.7e-09,,1,11,7,1,1.0,FA54-5339-327A-250501@203
11,11.0,0.0,4e-10,5.7e-09,3.186,130.7,130.8,9.3e-09,1.74e-08,2.2e-09,9e-10,,1,12,7,1,1.0,FA54-5339-327A-250501@203
12,12.0,1e-08,2e-09,2e-09,3.163,130.6,130.7,8.9e-09,1.75e-08,5.9e-09,1.8e-09,,1,13,7,1,1.0,FA54-5339-327A-250501@203
13,13.0,1e-08,1.4e-09,5.1e-09,3.263,130.6,130.7,1.05e-08,1.66e-08,5.1e-09,1.3e-09,,1,14,7,1,1.0,FA54-5339-327A-250501@203
14,14.0,0.0,3e-10,0.0,3.169,130.6,130.8,9.5e-09,1.58e-08,1.7e-09,2.3e-09,,1,15,7,1,1.0,FA54-5339-327A-250501@203
15,15.0,0.0,5e-10,3.9e-09,3.116,130.0,130.3,8.8e-09,1.71e-08,4.6e-09,5.6e-09,,1,16,7,1,1.0,FA54-5339-327A-250501@203
16,16.0,1e-08,1.6e-09,1e-10,3.149,130.1,130.3,9.6e-09,1.65e-08,9e-10,1.6e-09,,1,17,8,1,1.0,FA54-5339-327A-250501@203
17,15.0,0.0,1.1e-09,9e-10,3.156,130.7,130.8,9.1e-09,1.74e-08,3.2e-09,1.1e-09,,1,18,8,1,1.0,FA54-5339-327A-250501@203
18,14.0,0.0,3.9e-09,1.5e-09,3.136,130.8,130.9,8.2e-09,1.59e-08,1e-09,3.3e-09,,1,19,8,1,1.0,FA54-5339-327A-250501@203
19,13.0,1e-08,3e-10,2.4e-09,3.268,130.4,130.7,9.1e-09,1.69e-08,5.1e-09,1.3e-09,,1,20,8,1,1.0,FA54-5339-327A-250501@203
20,12.0,0.0,3e-09,5.5e-09,3.228,130.4,130.5,1.04e-08,1.6e-08,5.1e-09,1.5e-09,,1,21,8,1,1.0,FA54-5339-327A-250501@203
21,11.0,1e-08,3e-09,1e-09,3.208,130.3,130.5,9.1e-09,1.69e-08,1.9e-09,4.3e-09,,1,22,8,1,1.0,FA54-5339-327A-250501@203
22,10.0,0.0,2.9e-09,7e-10,3.187,130.4,130.7,9.3e-09,1.73e-08,2.6e-09,1.5e-09,,1,23,8,1,1.0,FA54-5339-327A-250501@203
23,9.0,0.0,5e-10,5e-09,3.148,130.6,130.8,8e-09,1.57e-08,1.4e-09,1e-10,,1,24,8,1,1.0,FA54-5339-327A-250501@203
24,8.0,0.0,1.4e-09,1.1e-09,3.203,130.7,130.8,9e-09,1.5e-08,1.3e-09,5e-10,,1,25,8,1,1.0,FA54-5339-327A-250501@203
25,7.0,0.0,1e-10,0.0,3.119,130.3,130.7,7.7e-09,1.67e-08,1.1e-09,3e-10,,1,26,8,1,1.0,FA54-5339-327A-250501@203
26,6.0,0.0,8e-10,2.6e-09,3.131,130.1,130.4,7.8e-09,1.69e-08,3.9e-09,2e-09,,1,27,9,1,1.0,FA54-5339-327A-250501@203
27,7.0,1e-08,5e-10,9e-10,3.126,130.5,130.8,8e-09,1.56e-08,3.9e-09,3.3e-09,,1,28,9,1,1.0,FA54-5339-327A-250501@203
28,8.0,0.0,2.3e-09,2e-10,3.241,130.5,130.8,6.7e-09,1.49e-08,4.6e-09,3.5e-09,,1,29,9,1,1.0,FA54-5339-327A-250501@203
29,9.0,0.0,1e-09,1.5e-09,3.136,130.4,130.6,8.1e-09,1.62e-08,6e-10,1.8e-09,,1,30,9,1,1.0,FA54-5339-327A-250501@203
30,10.0,1e-08,1e-09,1.9e-09,3.171,130.4,130.6,7.6e-09,1.55e-08,6.1e-09,1.1e-09,,1,31,9,1,1.0,FA54-5339-327A-250501@203
31,11.0,0.0,1.7e-09,1.2e-09,3.2,130.4,130.6,9.8e-09,1.57e-08,1.7e-09,5e-10,,1,32,9,1,1.0,FA54-5339-327A-250501@203
32,12.0,0.0,1.1e-09,2.4e-09,3.179,130.5,130.8,9e-09,1.63e-08,3.2e-09,2.9e-09,,1,33,9,1,1.0,FA54-5339-327A-250501@203
33,13.0,0.0,1.8e-09,1e-09,3.299,130.5,130.7,8.6e-09,1.6e-08,1e-09,1.3e-09,,1,34,9,1,1.0,FA54-5339-327A-250501@203
34,14.0,99.99,,,,,,,,,,,1,35,9,3,1.0,FA54-5339-327A-250501@203
35,15.0,0.0,3.2e-09,5e-10,3.124,130.4,130.7,8.5e-09,1.6e-08,0.0,1.9e-09,,1,36,9,1,1.0,FA54-5339-327A-250501@203
36,16.0,1e-08,2e-09,2.1e-09,3.188,130.4,130.6,7.7e-09,1.65e-08,5.9e-09,4.2e-09,,1,37,9,1,1.0,FA54-5339-327A-250501@203
37,17.0,0.0,8e-10,3.4e-09,3.242,130.2,130.4,9.5e-09,1.71e-08,1.2e-09,3.2e-09,,1,38,10,1,1.0,FA54-5339-327A-250501@203
38,16.0,0.0,1.6e-09,3e-09,3.243,130.5,130.6,8.9e-09,1.48e-08,4.2e-09,6.7e-09,,1,39,10,1,1.0,FA54-5339-327A-250501@203
39,15.0,0.0,6e-10,3.7e-09,3.213,130.2,130.4,9.1e-09,1.62e-08,1.4e-09,4.2e-09,,1,40,10,1,1.0,FA54-5339-327A-250501@203
40,14.0,1e-08,2.8e-09,3.2e-09,3.192,130.4,130.7,9.5e-09,1.44e-08,5.5e-09,5.9e-09,,1,41,10,1,1.0,FA54-5339-327A-250501@203
41,13.0,0.0,2e-09,1.2e-09,3.305,130.7,131.0,8.5e-09,1.59e-08,1.1e-09,2.1e-09,,1,42,10,1,1.0,FA54-5339-327A-250501@203
42,12.0,0.0,1.1e-09,3.6e-09,3.299,130.9,131.1,8.7e-09,1.52e-08,4.3e-09,2.5e-09,,1,43,10,1,1.0,FA54-5339-327A-250501@203
43,11.0,1e-08,2e-10,7e-10,3.213,130.9,130.9,8e-09,1.52e-08,4.9e-09,1.8e-09,,1,44,10,1,1.0,FA54-5339-327A-250501@203
44,10.0,0.0,1.4e-09,2.8e-09,3.185,130.6,130.8,9.7e-09,1.55e-08,3.4e-09,3.4e-09,,1,45,10,1,1.0,FA54-5339-327A-250501@203
45,9.0,0.0,1.1e-09,4.6e-09,3.226,130.5,130.7,8.8e-09,1.37e-08,4.7e-09,6.3e-09,,1,46,10,1,1.0,FA54-5339-327A-250501@203
46,8.0,1e-08,2.8e-09,3.7e-09,3.2,130.3,130.6,8.1e-09,1.64e-08,1.7e-09,1.8e-09,,1,47,10,1,1.0,FA54-5339-327A-250501@203
47,7.0,1e-08,5e-10,6.5e-09,3.187,130.8,130.9,7.9e-09,1.6e-08,1e-09,1e-10,,1,48,10,1,1.0,FA54-5339-327A-250501@203
48,6.0,0.0,6e-10,2.7e-09,3.157,130.5,130.7,9.2e-09,1.6e-08,3.4e-09,2.3e-09,,1,49,10,1,1.0,FA54-5339-327A-250501@203
49,5.0,0.0,1.3e-09,1e-09,3.134,129.6,129.9,7.8e-09,1.66e-08,3.8e-09,5.9e-09,,1,50,11,1,1.0,FA54-5339-327A-250501@203
50,6.0,0.0,3.3e-09,1.6e-09,3.122,130.6,130.8,7.6e-09,1.54e-08,2.3e-09,1.6e-09,,1,51,11,1,1.0,FA54-5339-327A-250501@203
51,7.0,2e-08,1.1e-09,5e-09,3.2,130.7,130.9,7.8e-09,1.51e-08,3.9e-09,3e-09,,1,52,11,1,1.0,FA54-5339-327A-250501@203
52,8.0,0.0,2e-09,5e-10,3.216,130.5,130.7,6.7e-09,1.51e-08,5e-09,2.4e-09,,1,53,11,1,1.0,FA54-5339-327A-250501@203
53,9.0,2e-08,3e-10,3.5e-09,3.256,130.7,131.0,8e-09,1.46e-08,5.6e-09,1e-09,,1,54,11,1,1.0,FA54-5339-327A-250501@203
