No.U,CONT,IGSS0,IGSS1,IGSSR1,VTH,BVDSS1,BVDSS2,IDSS1,IDSS2,IGSS2,IGSSR2,Wafer_ID,Seq,X,Y,Bin,Lot_ID
11.0,0.0,0.0,5e-09,3.204,129.4,129.7,1.52e-08,2.32e-08,6.9e-09,5.9e-09,,1,1,5,1,1.0,FA54-5339-327A-250501@203
14.0,0.0,1.4e-09,5.1e-09,3.116,129.6,129.9,9.4e-09,1.84e-08,2e-09,2e-10,,1,2,6,1,1.0,FA54-5339-327A-250501@203
13.0,1e-08,1e-09,1.2e-09,3.207,129.9,130.3,1.19e-08,1.85e-08,3.8e-09,4e-10,,1,3,6,1,1.0,FA54-5339-327A-250501@203
12.0,0.0,1e-10,6e-10,3.191,130.4,130.6,1.11e-08,2.04e-08,6.1e-09,2e-09,,1,4,6,1,1.0,FA54-5339-327A-250501@203
11.0,0.0,9e-10,1.6e-09,3.175,130.5,130.6,1.08e-08,1.93e-08,7.9e-09,2.5e-09,,1,5,6,1,1.0,FA54-5339-327A-250501@203
10.0,0.0,1.8e-09,5.2e-09,3.153,130.5,130.7,1.11e-08,1.74e-08,4.2e-09,8.5e-09,,1,6,6,1,1.0,FA54-5339-327A-250501@203
9.0,0.0,3.6e-09,6.7e-09,3.125,130.2,130.4,9.9e-09,1.73e-08,6e-09,1.2e-09,,1,7,6,1,1.0,FA54-5339-327A-250501@203
7.0,1e-08,6e-10,3.7e-09,3.121,129.6,130.0,6.8e-09,1.73e-08,1e-10,1.2e-09,,1,8,7,1,1.0,FA54-5339-327A-250501@203
8.0,1e-08,7e-10,3.5e-09,3.17,130.3,130.6,8.8e-09,1.58e-08,1e-09,1.7e-09,,1,9,7,1,1.0,FA54-5339-327A-250501@203
9.0,0.0,2.4e-09,1.3e-09,3.118,130.6,130.9,9.2e-09,1.61e-08,3.9e-09,3.6e-09,,1,10,7,1,1.0,FA54-5339-327A-250501@203
10.0,0.0,4.5e-09,5.2e-09,3.151,130.6,130.9,9.2e-09,1.74e-08,4.1e-09,3.7e-09,,1,11,7,1,1.0,FA54-5339-327A-250501@203
11.0,0.0,4e-10,5.7e-09,3.186,130.7,130.8,9.3e-09,1.74e-08,2.2e-09,9e-10,,1,12,7,1,1.0,FA54-5339-327A-250501@203
12.0,1e-08,2e-09,2e-09,3.163,130.6,130.7,8.9e-09,1.75e-08,5.9e-09,1.8e-09,,1,13,7,1,1.0,FA54-5339-327A-250501@203
13.0,1e-08,1.4e-09,5.1e-09,3.263,130.6,130.7,1.05e-08,1.66e-08,5.1e-09,1.3e-09,,1,14,7,1,1.0,FA54-5339-327A-250501@203
14.0,0.0,3e-10,0.0,3.169,130.6,130.8,9.5e-09,1.58e-08,1.7e-09,2.3e-09,,1,15,7,1,1.0,FA54-5339-327A-250501@203
15.0,0.0,5e-10,3.9e-09,3.116,130.0,130.3,8.8e-09,1.71e-08,4.6e-09,5.6e-09,,1,16,7,1,1.0,FA54-5339-327A-250501@203
