Lot_ID,Wafer_ID,Yield,Total,Pass,Bin3,Bin4,Bin6,Bin7,Bin8,Bin9
FA55-4307-327A-250501@203,1,94.38%,178,168,1,9,0,0,0,0
FA55-4307-327A-250501@203,2,96.07%,178,171,0,7,0,0,0,0
FA55-4307-327A-250501@203,3,94.94%,178,169,2,7,0,0,0,0
FA55-4307-327A-250501@203,4,98.31%,178,175,0,3,0,0,0,0
FA55-4307-327A-250501@203,5,96.63%,178,172,2,4,0,0,0,0
FA55-4307-327A-250501@203,6,98.88%,178,176,0,2,0,0,0,0
FA55-4307-327A-250501@203,7,98.31%,178,175,1,2,0,0,0,0
FA55-4307-327A-250501@203,8,98.88%,178,176,0,2,0,0,0,0
FA55-4307-327A-250501@203,9,96.63%,178,172,1,4,0,1,0,0
FA55-4307-327A-250501@203,10,99.44%,178,177,0,1,0,0,0,0
FA55-4307-327A-250501@203,11,99.44%,178,177,0,0,0,0,0,0
FA55-4307-327A-250501@203,12,97.19%,178,173,0,4,0,0,0,1
FA55-4307-327A-250501@203,13,97.75%,178,174,0,1,2,0,0,0
FA55-4307-327A-250501@203,14,97.19%,178,173,2,3,0,0,0,0
FA55-4307-327A-250501@203,15,97.75%,178,174,0,3,0,0,0,1
FA55-4307-327A-250501@203,16,99.44%,178,177,0,1,0,0,0,0
FA55-4307-327A-250501@203,17,97.75%,178,174,1,3,0,0,0,0
FA55-4307-327A-250501@203,18,97.19%,178,173,1,1,3,0,0,0
FA55-4307-327A-250501@203,19,96.07%,178,171,0,4,3,0,0,0
FA55-4307-327A-250501@203,20,97.75%,178,174,1,2,1,0,0,0
FA55-4307-327A-250501@203,21,93.26%,178,166,0,6,5,0,0,1
FA55-4307-327A-250501@203,22,97.19%,178,173,1,2,2,0,0,0
FA55-4307-327A-250501@203,23,91.01%,178,162,3,7,6,0,0,0
FA55-4307-327A-250501@203,24,97.75%,178,174,2,2,0,0,0,0
FA55-4307-327A-250501@203,25,98.31%,178,175,0,1,2,0,0,0
FA55-4429-325A-250502@203,1,98.88%,178,176,1,1,0,0,0,0
FA55-4429-325A-250502@203,3,97.75%,178,174,1,3,0,0,0,0
FA55-4429-325A-250502@203,4,98.31%,178,175,0,3,0,0,0,0
FA55-4429-325A-250502@203,5,97.75%,178,174,3,1,0,0,0,0
FA55-4429-325A-250502@203,6,97.19%,178,173,0,4,0,1,0,0
FA55-4429-325A-250502@203,7,96.07%,178,171,3,4,0,0,0,0
FA55-4429-325A-250502@203,8,98.31%,178,175,1,2,0,0,0,0
FA55-4429-325A-250502@203,9,97.19%,178,173,3,2,0,0,0,0
FA55-4429-325A-250502@203,10,98.31%,178,175,1,2,0,0,0,0
FA55-4429-325A-250502@203,12,98.88%,178,176,0,2,0,0,0,0
FA55-4429-325A-250502@203,13,96.07%,178,171,4,3,0,0,0,0
FA55-4429-325A-250502@203,14,98.88%,178,176,2,0,0,0,0,0
FA55-4429-325A-250502@203,15,96.63%,178,172,0,5,0,1,0,0
FA55-4429-325A-250502@203,16,96.63%,178,172,3,2,0,1,0,0
FA55-4429-325A-250502@203,17,95.51%,178,170,1,7,0,0,0,0
FA55-4429-325A-250502@203,18,98.88%,178,176,0,1,1,0,0,0
FA55-4429-325A-250502@203,19,96.63%,178,172,3,3,0,0,0,0
FA55-4429-325A-250502@203,20,96.63%,178,172,3,2,0,0,0,1
FA55-4429-325A-250502@203,22,98.31%,178,175,1,2,0,0,0,0
FA55-4429-325A-250502@203,23,97.19%,178,173,0,3,1,0,0,1
FA55-4429-325A-250502@203,24,95.51%,178,170,2,4,0,1,0,0
FA55-4429-325A-250502@203,25,98.31%,178,175,0,1,1,1,0,0
FA55-4434-325A-250502@203,1,95.51%,178,170,2,6,0,0,0,0
FA55-4434-325A-250502@203,2,98.88%,178,176,0,2,0,0,0,0
FA55-4434-325A-250502@203,3,98.31%,178,175,1,2,0,0,0,0
FA55-4434-325A-250502@203,4,97.19%,178,173,1,1,0,3,0,0
FA55-4434-325A-250502@203,5,98.31%,178,175,2,1,0,0,0,0
FA55-4434-325A-250502@203,6,96.63%,178,172,1,5,0,0,0,0
FA55-4434-325A-250502@203,7,98.31%,178,175,0,3,0,0,0,0
FA55-4434-325A-250502@203,8,98.31%,178,175,0,3,0,0,0,0
FA55-4434-325A-250502@203,9,97.75%,178,174,2,1,0,0,0,1
FA55-4434-325A-250502@203,10,97.75%,178,174,2,2,0,0,0,0
FA55-4434-325A-250502@203,11,97.19%,178,173,0,5,0,0,0,0
FA55-4434-325A-250502@203,12,98.31%,178,175,1,1,1,0,0,0
FA55-4434-325A-250502@203,13,97.75%,178,174,1,2,0,1,0,0
FA55-4434-325A-250502@203,14,99.44%,178,177,0,1,0,0,0,0
FA55-4434-325A-250502@203,15,96.63%,178,172,4,0,1,1,0,0
FA55-4434-325A-250502@203,16,94.94%,178,169,0,7,0,2,0,0
FA55-4434-325A-250502@203,17,99.44%,178,177,0,0,1,0,0,0
FA55-4434-325A-250502@203,18,97.19%,178,173,2,2,0,0,0,1
FA55-4434-325A-250502@203,19,98.31%,178,175,1,1,0,0,0,0
FA55-4434-325A-250502@203,20,100.00%,178,178,0,0,0,0,0,0
FA55-4434-325A-250502@203,21,100.00%,178,178,0,0,0,0,0,0
FA55-4434-325A-250502@203,22,97.75%,178,174,0,3,0,1,0,0
FA55-4434-325A-250502@203,23,99.44%,178,177,0,1,0,0,0,0
FA55-4434-325A-250502@203,24,98.31%,178,175,1,2,0,0,0,0
FA55-4434-325A-250502@203,25,98.31%,178,175,0,1,0,1,0,1
